"Informazioni cronologiche","Sei..","Sei interessato a.. (possibile scelta multipla)","Quanti anni hai?","Qual è il colore dei tuoi occhi?","Qual è il colore dei tuoi capelli?","Quanto sei alto?","Studi?","Se si, frequenti..","Quali sono i tuoi interessi? (possibile scelta multipla)","Cosa è importante per te in una persona? (possibile scelta multipla)","Quanto reputi utile un sito dating?","Per cosa useresti il nostro sito di dating?"
"2020/12/11 8:57:01 PM CET","Maschio","Donne","18 - 25","Azzurri","Castani","1,61m - 1,80m","Si","Università - Facoltà scientifica","Musica;Cinema;Calcio;Videogiochi;Tecnologia;Informatica;Motori","Carattere;Aspetto fisico","7","Rapporti occasionali"
"2020/12/11 8:59:58 PM CET","Maschio","Donne","18 - 25","Castani","Castani","1,61m - 1,80m","Si","Università - Facoltà umanistica","Cinema;Calcio;Serie Tv;Arte;Videogiochi;Tecnologia;Viaggi","Carattere;Hobby/Passioni","7","Rapporti occasionali"
"2020/12/11 9:00:02 PM CET","Maschio","Donne","18 - 25","Neri","Neri","1,61m - 1,80m","No","","Musica;Sport;Calcio;Anime;Videogiochi;Tecnologia;Natura","Carattere;Aspetto fisico","5","Amicizie"
"2020/12/11 9:00:27 PM CET","Maschio","Donne","18 - 25","Verdi","Castani","1,61m - 1,80m","Si","Università - Facoltà scientifica","Cinema;Videogiochi;Tecnologia;Viaggi;Informatica","Carattere;Aspetto fisico","2","Rapporti occasionali"
"2020/12/11 9:00:59 PM CET","Maschio","Donne","18 - 25","Castani","Castani","1,81m - 2m","Si","Università - Facoltà scientifica","Musica;Cinema;Calcio;Serie Tv;Tv;Arte;Videogiochi;Tecnologia;Informatica;Libri;Cucina;Fotografia;Motori","Carattere","2","Amicizie"
"2020/12/11 9:01:24 PM CET","Maschio","Donne","18 - 25","Verdi","Castani","1,61m - 1,80m","Si","Università - Facoltà scientifica","Musica;Cinema;Sport;Calcio;Anime;Serie Tv;Tv;Videogiochi;Tecnologia;Viaggi;Informatica;Cucina;Natura;Motori;Altro","Carattere","7","Amicizie"
"2020/12/11 9:03:29 PM CET","Maschio","Donne","18 - 25","Castani","Neri","1,61m - 1,80m","Si","Università - Facoltà scientifica","Musica;Serie Tv;Tv;Viaggi;Informatica","Carattere;Aspetto fisico","3","Relazioni"
"2020/12/11 9:04:24 PM CET","Maschio","Donne","18 - 25","Castani","Biondi","1,81m - 2m","Si","Università - Facoltà scientifica","Musica;Cinema;Sport;Manga/Fumetti;Serie Tv;Tv;Informatica;Cucina","Carattere;Aspetto fisico","2","Amicizie"
"2020/12/11 9:04:46 PM CET","Maschio","Donne","18 - 25","Castani","Neri","1,81m - 2m","Si","Università - Facoltà umanistica","Cinema;Sport;Calcio;Arte;Videogiochi;Tecnologia;Storia;Informatica;Libri;Cucina;Natura;Fotografia;Disegno","Carattere","3","Rapporti occasionali"
"2020/12/11 9:07:20 PM CET","Maschio","Donne","18 - 25","Verdi","Castani","1,81m - 2m","Si","Università - Facoltà umanistica","Musica;Sport;Manga/Fumetti;Serie Tv;Tv;Politica;Videogiochi;Viaggi;Storia;Natura;Fotografia;Altro","Carattere","8","Amicizie"
"2020/12/11 9:10:44 PM CET","Femmina","Uomini","18 - 25","Castani","Castani","1,61m - 1,80m","Si","Università - Facoltà umanistica","Musica;Serie Tv;Cucina","Carattere;Aspetto fisico;Hobby/Passioni","6","Amicizie"
"2020/12/11 9:13:48 PM CET","Maschio","Donne","18 - 25","Castani","Castani","1,61m - 1,80m","Si","Università - Facoltà scientifica","Calcio;Serie Tv;Arte;Politica;Tecnologia;Viaggi;Storia;Informatica;Fotografia;Motori","Carattere;Hobby/Passioni","1","Amicizie"
"2020/12/11 9:14:37 PM CET","Femmina","Uomini","18 - 25","Neri","Castani","1,61m - 1,80m","Si","Università - Facoltà scientifica","Cinema;Viaggi;Libri;Cucina;Natura;Fotografia;Moda","Carattere;Aspetto fisico;Hobby/Passioni;Altro","5","Relazioni"
"2020/12/11 9:18:20 PM CET","Altro","Uomini","Più di 55","Grigi","Rossi","Meno di 1,40m","No","Università - Facoltà umanistica","Arte;Politica;Motori;Altro","Altro","10","Altro"
"2020/12/11 9:19:21 PM CET","Femmina","Uomini","18 - 25","Castani","Castani","1,61m - 1,80m","Si","Università - Facoltà umanistica","Musica;Cinema;Anime;Serie Tv;Arte;Videogiochi;Libri;Cucina;Natura;Moda","Carattere;Hobby/Passioni","4","Amicizie"
"2020/12/11 9:19:45 PM CET","Maschio","Donne","Meno di 18","Castani","Neri","1,81m - 2m","Si","Scuola secondario di secondo grado (Liceo e Istituti vari) o gradi inferiori.","Sport;Teatro;Videogiochi;Tecnologia;Storia;Informatica","Carattere;Aspetto fisico","5","Rapporti occasionali"
"2020/12/11 9:20:02 PM CET","Maschio","Donne","45 - 55","Grigi","Neri","1,61m - 1,80m","No","","Cinema;Serie Tv;Informatica;Motori","Carattere;Altro","10","Amicizie"
"2020/12/11 9:20:23 PM CET","Femmina","Uomini","18 - 25","Verdi","Castani","1,41m - 1,60m","Si","Università - Facoltà umanistica","Musica;Calcio;Serie Tv;Videogiochi;Viaggi;Moda","Carattere","10","Amicizie"
"2020/12/11 9:20:44 PM CET","Femmina","Uomini","18 - 25","Azzurri","Castani","1,41m - 1,60m","No","","Musica;Serie Tv;Viaggi","Carattere","8","Amicizie"
"2020/12/11 9:21:07 PM CET","Maschio","Donne","18 - 25","Castani","Castani","1,61m - 1,80m","Si","Università - Facoltà scientifica","Musica;Cinema;Sport;Calcio;Videogiochi;Tecnologia;Viaggi;Cucina;Natura","Carattere","3","Relazioni"
"2020/12/11 9:21:43 PM CET","Maschio","Donne","Meno di 18","Castani","Castani","1,61m - 1,80m","Si","Scuola secondario di secondo grado (Liceo e Istituti vari) o gradi inferiori.","Musica;Cinema;Sport;Calcio;Anime;Manga/Fumetti;Serie Tv;Tv;Politica;Videogiochi;Tecnologia;Viaggi;Storia;Informatica;Libri;Natura;Fotografia","Carattere","6","Rapporti occasionali"
"2020/12/11 9:22:12 PM CET","Femmina","Donne","45 - 55","Azzurri","Castani","1,41m - 1,60m","No","","Cucina","Carattere","5","Amicizie"
"2020/12/11 9:22:43 PM CET","Maschio","Donne","18 - 25","Azzurri","Neri","1,81m - 2m","Si","Università - Facoltà scientifica","Cinema;Sport;Calcio;Manga/Fumetti;Serie Tv;Videogiochi;Tecnologia;Viaggi;Informatica;Disegno;Motori","Carattere","6","Relazioni"
"2020/12/11 9:24:27 PM CET","Femmina","Uomini","18 - 25","Castani","Castani","1,61m - 1,80m","Si","Università - Facoltà scientifica","Musica;Cinema;Serie Tv;Viaggi;Libri","Carattere;Aspetto fisico","8","Amicizie"
"2020/12/11 9:24:42 PM CET","Maschio","Donne","18 - 25","Castani","Castani","1,81m - 2m","Si","Università - Facoltà scientifica","Musica;Cinema;Sport;Calcio;Serie Tv;Tv;Politica;Videogiochi;Tecnologia;Viaggi;Informatica","Carattere;Aspetto fisico;Hobby/Passioni","7","Rapporti occasionali"
"2020/12/11 9:25:27 PM CET","Femmina","Uomini","26 - 35","Azzurri","Biondi","1,61m - 1,80m","No","Nessuna delle precedenti","Sport","Carattere","8","Amicizie"
"2020/12/11 9:25:43 PM CET","Maschio","Donne","18 - 25","Verdi","Biondi","1,61m - 1,80m","Si","Università - Facoltà scientifica","Musica;Sport;Videogiochi;Tecnologia;Viaggi;Informatica;Motori;Altro","Carattere;Aspetto fisico","7","Amicizie"
"2020/12/11 9:25:57 PM CET","Femmina","Uomini","18 - 25","Castani","Castani","1,61m - 1,80m","No","","Serie Tv;Libri","Carattere","7","Amicizie"
"2020/12/11 9:26:34 PM CET","Maschio","Donne","18 - 25","Castani","Castani","1,61m - 1,80m","Si","Scuola secondario di secondo grado (Liceo e Istituti vari) o gradi inferiori.","Cinema;Sport;Anime;Manga/Fumetti;Serie Tv;Politica;Videogiochi;Tecnologia;Viaggi;Storia;Informatica;Libri;Motori","Carattere;Aspetto fisico","6","Amicizie"
"2020/12/11 9:28:43 PM CET","Femmina","Uomini","Meno di 18","Castani","Castani","1,61m - 1,80m","Si","Scuola secondario di secondo grado (Liceo e Istituti vari) o gradi inferiori.","Musica;Videogiochi;Viaggi;Natura;Moda","Carattere;Aspetto fisico;Hobby/Passioni","6","Amicizie"
"2020/12/11 9:28:47 PM CET","Femmina","Uomini","26 - 35","Verdi","Castani","1,61m - 1,80m","No","Nessuna delle precedenti","Musica","Carattere","8","Amicizie"
"2020/12/11 9:30:18 PM CET","Femmina","Uomini","Più di 55","Verdi","Castani","1,41m - 1,60m","No","","Serie Tv;Tecnologia;Cucina","Carattere;Altro","9","Altro"
"2020/12/11 9:30:51 PM CET","Maschio","Donne","18 - 25","Castani","Castani","1,61m - 1,80m","Si","Università - Facoltà scientifica","Cinema;Sport;Calcio;Serie Tv;Videogiochi;Tecnologia;Viaggi;Informatica","Carattere;Aspetto fisico;Hobby/Passioni","7","Rapporti occasionali"
"2020/12/11 9:31:21 PM CET","Femmina","Uomini","Meno di 18","Castani","Castani","1,61m - 1,80m","Si","Scuola secondario di secondo grado (Liceo e Istituti vari) o gradi inferiori.","Musica;Cinema;Anime;Serie Tv;Arte;Tecnologia;Storia;Libri;Fotografia;Moda","Carattere;Aspetto fisico;Hobby/Passioni;Altro","8","Amicizie"
"2020/12/11 9:31:43 PM CET","Femmina","Uomini;Donne","18 - 25","Castani","Rossi","1,61m - 1,80m","Si","Università - Facoltà scientifica","Musica;Cinema;Sport;Serie Tv;Arte;Teatro;Videogiochi;Viaggi;Libri;Natura;Fotografia;Disegno;Moda","Carattere;Aspetto fisico;Hobby/Passioni","5","Amicizie"
"2020/12/11 9:33:15 PM CET","Femmina","Uomini","18 - 25","Castani","Castani","1,61m - 1,80m","Si","Università - Facoltà umanistica","Musica;Cinema;Anime;Manga/Fumetti;Serie Tv;Teatro;Videogiochi;Tecnologia;Libri","Carattere","3","Amicizie"
"2020/12/11 9:33:54 PM CET","Femmina","Uomini","Meno di 18","Castani","Castani","1,41m - 1,60m","Si","Scuola secondario di secondo grado (Liceo e Istituti vari) o gradi inferiori.","Anime;Viaggi;Disegno","Carattere","7","Altro"
"2020/12/11 9:35:23 PM CET","Maschio","Donne","18 - 25","Castani","Castani","1,61m - 1,80m","Si","Accademie varie (Artistica etc..)","Musica;Cinema;Serie Tv;Arte;Videogiochi;Tecnologia;Informatica;Fotografia;Disegno;Motori;Moda","Carattere;Hobby/Passioni","1","Amicizie"
"2020/12/11 9:35:55 PM CET","Maschio","Donne","18 - 25","Azzurri","Castani","1,61m - 1,80m","Si","Università - Facoltà scientifica","Cinema;Calcio;Anime;Serie Tv;Tecnologia;Informatica","Carattere","6","Amicizie"
"2020/12/11 9:41:32 PM CET","Maschio","Donne","18 - 25","Castani","Neri","1,81m - 2m","Si","Università - Facoltà scientifica","Sport;Calcio;Anime;Manga/Fumetti;Serie Tv;Tv;Politica;Videogiochi;Viaggi;Cucina","Aspetto fisico","6","Rapporti occasionali"
"2020/12/11 9:42:02 PM CET","Maschio","Donne","18 - 25","Castani","Neri","1,81m - 2m","Si","Università - Facoltà scientifica","Musica;Sport;Calcio;Serie Tv;Tv;Videogiochi;Cucina;Moda","Carattere","6","Rapporti occasionali"
"2020/12/11 9:42:44 PM CET","Maschio","Donne","18 - 25","Azzurri","Castani","1,61m - 1,80m","Si","Università - Facoltà scientifica","Cinema;Sport;Calcio;Serie Tv;Videogiochi;Tecnologia;Viaggi;Informatica;Cucina;Fotografia;Motori;Moda","Carattere","7","Rapporti occasionali"
"2020/12/11 9:46:12 PM CET","Maschio","Donne","18 - 25","Castani","Castani","1,61m - 1,80m","Si","Università - Facoltà scientifica","Cinema;Sport;Serie Tv;Videogiochi;Tecnologia;Informatica;Motori","Carattere;Aspetto fisico;Hobby/Passioni;Altro","6","Relazioni"
"2020/12/11 9:47:04 PM CET","Femmina","Uomini","18 - 25","Neri","Castani","1,41m - 1,60m","Si","Università - Facoltà umanistica","Musica;Cinema;Serie Tv;Tv","Carattere;Hobby/Passioni","3","Altro"
"2020/12/11 9:51:02 PM CET","Maschio","Donne","26 - 35","Castani","Castani","1,61m - 1,80m","No","","Musica;Cinema;Sport;Anime;Manga/Fumetti;Serie Tv;Tv;Videogiochi;Viaggi;Natura;Altro","Altro","3","Altro"
"2020/12/11 9:55:13 PM CET","Femmina","Donne","26 - 35","Azzurri","Castani","1,61m - 1,80m","No","","Cinema;Serie Tv;Arte;Tecnologia","Carattere;Hobby/Passioni","6","Amicizie"
"2020/12/11 9:57:56 PM CET","Femmina","Uomini","18 - 25","Neri","Castani","1,61m - 1,80m","Si","Scuola secondario di secondo grado (Liceo e Istituti vari) o gradi inferiori.","Musica;Sport;Anime;Manga/Fumetti;Serie Tv;Arte;Viaggi;Disegno;Moda","Carattere;Aspetto fisico","5","Rapporti occasionali"
"2020/12/11 9:58:55 PM CET","Femmina","Uomini","18 - 25","Verdi","Castani","1,61m - 1,80m","Si","Università - Facoltà scientifica","Cinema;Tv;Viaggi;Cucina;Fotografia","Carattere;Aspetto fisico","7","Relazioni"
"2020/12/11 9:59:23 PM CET","Maschio","Donne","18 - 25","Castani","Castani","1,61m - 1,80m","Si","Università - Facoltà scientifica","Sport;Anime;Manga/Fumetti;Videogiochi;Tecnologia;Informatica;Libri;Altro","Carattere;Aspetto fisico;Altro","8","Relazioni"
"2020/12/11 10:03:28 PM CET","Femmina","Donne","18 - 25","Castani","Castani","1,61m - 1,80m","Si","Università - Facoltà scientifica","Musica;Viaggi;Informatica","Carattere;Aspetto fisico","6","Relazioni"
"2020/12/11 10:04:28 PM CET","Maschio","Donne","18 - 25","Castani","Castani","1,61m - 1,80m","Si","Università - Facoltà umanistica","Cinema;Calcio;Serie Tv;Arte;Videogiochi;Tecnologia;Viaggi","Carattere;Hobby/Passioni","7","Rapporti occasionali"
"2020/12/11 10:04:49 PM CET","Femmina","Uomini","18 - 25","Castani","Castani","1,61m - 1,80m","Si","Università - Facoltà scientifica","Musica;Sport;Viaggi;Natura;Fotografia;Moda;Altro","Carattere;Aspetto fisico;Hobby/Passioni;Altro","8","Amicizie"
"2020/12/11 10:05:15 PM CET","Femmina","Uomini","18 - 25","Castani","Castani","1,61m - 1,80m","Si","Università - Facoltà scientifica","Musica;Sport;Viaggi;Natura;Fotografia;Moda;Altro","Carattere;Aspetto fisico;Hobby/Passioni;Altro","8","Amicizie"
"2020/12/11 10:08:50 PM CET","Maschio","Uomini","18 - 25","Castani","Castani","1,81m - 2m","Si","Università - Facoltà scientifica","Musica;Cinema;Anime;Manga/Fumetti;Politica;Videogiochi;Tecnologia;Informatica;Cucina;Motori","Carattere;Aspetto fisico","6","Rapporti occasionali"
"2020/12/11 10:11:46 PM CET","Maschio","Uomini;Donne","18 - 25","Verdi","Castani","1,61m - 1,80m","Si","Università - Facoltà scientifica","Musica;Cinema;Serie Tv;Arte;Videogiochi;Tecnologia;Informatica;Natura;Fotografia","Carattere;Aspetto fisico;Hobby/Passioni","6","Rapporti occasionali"
"2020/12/11 10:13:30 PM CET","Maschio","Donne","18 - 25","Castani","Castani","1,81m - 2m","Si","Università - Facoltà scientifica","Musica;Cinema;Sport;Anime;Serie Tv;Arte;Viaggi;Storia;Fotografia;Motori","Carattere;Aspetto fisico","8","Relazioni"
"2020/12/11 10:14:32 PM CET","Maschio","Donne","18 - 25","Castani","Castani","1,61m - 1,80m","Si","Università - Facoltà scientifica","Sport","Carattere;Aspetto fisico","7","Altro"
"2020/12/11 10:16:53 PM CET","Maschio","Donne","18 - 25","Verdi","Neri","1,61m - 1,80m","Si","Università - Facoltà umanistica","Musica;Cinema;Sport;Anime;Manga/Fumetti;Serie Tv;Tv;Arte;Videogiochi;Tecnologia;Viaggi;Storia;Informatica;Cucina;Natura;Fotografia;Disegno;Altro","Carattere;Hobby/Passioni","6","Relazioni"
"2020/12/11 10:17:09 PM CET","Maschio","Donne","18 - 25","Verdi","Castani","1,61m - 1,80m","No","","Musica;Cinema;Sport;Calcio;Serie Tv;Tv;Arte;Teatro;Politica;Viaggi;Storia;Libri;Cucina;Natura;Motori;Moda","Carattere;Aspetto fisico;Hobby/Passioni","6","Rapporti occasionali"
"2020/12/11 10:28:54 PM CET","Maschio","Donne","18 - 25","Castani","Castani","1,61m - 1,80m","Si","Università - Facoltà umanistica","Musica;Sport;Videogiochi;Tecnologia;Viaggi;Storia;Informatica;Libri;Fotografia;Motori;Moda;Altro","Carattere;Aspetto fisico;Altro","4","Altro"
"2020/12/11 10:30:59 PM CET","Maschio","Donne","18 - 25","Verdi","Castani","1,61m - 1,80m","Si","Università - Facoltà scientifica","Musica;Calcio;Anime;Informatica","Carattere","7","Altro"
"2020/12/11 10:34:08 PM CET","Femmina","Uomini","26 - 35","Azzurri","Altro","1,41m - 1,60m","No","","Musica;Cinema;Anime;Manga/Fumetti;Serie Tv;Arte;Videogiochi;Cucina;Natura;Fotografia;Disegno;Moda","Carattere;Aspetto fisico;Hobby/Passioni;Altro","7","Amicizie"
"2020/12/11 10:42:20 PM CET","Maschio","Donne","18 - 25","Neri","Neri","1,81m - 2m","Si","Università - Facoltà umanistica","Musica;Sport;Cucina","Carattere;Aspetto fisico","5","Rapporti occasionali"
"2020/12/11 10:50:55 PM CET","Maschio","Donne","18 - 25","Castani","Castani","1,61m - 1,80m","Si","Nessuna delle precedenti","Musica;Cinema;Serie Tv;Tv;Videogiochi;Tecnologia;Storia","Carattere","3","Rapporti occasionali"
"2020/12/11 10:57:05 PM CET","Femmina","Uomini","18 - 25","Castani","Castani","1,61m - 1,80m","Si","Nessuna delle precedenti","Cinema;Serie Tv;Tv;Cucina;Moda","Carattere;Aspetto fisico;Hobby/Passioni","7","Amicizie"
"2020/12/11 10:59:15 PM CET","Maschio","Donne","18 - 25","Castani","Castani","1,61m - 1,80m","Si","Università - Facoltà scientifica","Sport;Calcio;Serie Tv;Tv;Arte;Videogiochi;Tecnologia;Viaggi;Informatica;Libri;Motori;Moda","Carattere;Aspetto fisico;Hobby/Passioni","5","Relazioni"
"2020/12/11 11:00:26 PM CET","Femmina","Uomini","18 - 25","Castani","Castani","1,61m - 1,80m","Si","Università - Facoltà scientifica","Musica;Cinema;Arte;Teatro;Tecnologia;Viaggi;Storia;Informatica;Libri;Natura;Fotografia","Carattere;Aspetto fisico;Hobby/Passioni","3","Relazioni"
"2020/12/11 11:00:57 PM CET","Femmina","Donne","18 - 25","Verdi","Castani","1,61m - 1,80m","Si","Università - Facoltà umanistica","Musica;Cinema;Serie Tv;Arte;Teatro;Viaggi;Storia;Libri;Cucina;Natura;Fotografia;Disegno;Moda","Carattere","6","Relazioni"
"2020/12/11 11:02:47 PM CET","Maschio","Donne","18 - 25","Castani","Castani","1,81m - 2m","Si","Università - Facoltà scientifica","Musica;Politica;Videogiochi;Tecnologia;Viaggi;Informatica;Motori","Carattere;Aspetto fisico;Hobby/Passioni","4","Relazioni"
"2020/12/11 11:02:56 PM CET","Maschio","Donne","26 - 35","Neri","Castani","1,61m - 1,80m","Si","Università - Facoltà umanistica","Musica;Cinema;Anime;Manga/Fumetti;Serie Tv;Tv;Arte;Teatro;Videogiochi;Tecnologia;Viaggi;Storia;Informatica;Libri;Cucina;Fotografia;Disegno","Carattere;Hobby/Passioni","9","Amicizie"
"2020/12/11 11:05:16 PM CET","Femmina","Uomini","36 - 45","Castani","Castani","1,41m - 1,60m","Si","Nessuna delle precedenti","Cinema;Serie Tv;Viaggi;Cucina;Natura;Moda","Carattere;Aspetto fisico","7","Relazioni"
